CODICESCUOLA,ANNOCORSO,SEZIONEANNO,TIPOGRADOSCUOLA,COMBINAZIONE,DISCIPLINA,CODICEISBN,AUTORI,TITOLO,SOTTOTITOLO,VOLUME,EDITORE,PREZZO,NUOVAADOZ,DAACQUIST,CONSIGLIATO
PGEE869013,1,B,EE,27 ORE SETTIMANALI,IL LIBRO DELLA PRIMA CLASSE,9791220405362,BORDIGLIONI STEFANO - RIZZO LICORI ELENA - ROMANO SALVATORE,MINIMONDO,CLASSE 1A: CONFEZIONE TUTTO MAIUSCOLO,1,A. MONDADORI SCUOLA,"13,34",Si,Si,No
PGMM82701X,1,A,MM,30 ORE DI ORARIO ORDINARIO,ITALIANO,9788891556431,"ZORDAN ROSETTA  ",LETTURA OLTRE,"VOLUME 1, QUADERNO 1, MITO EPICA",1,FABBRI SCUOLA,"28,30",Si,Si,No
PGMM82701X,1,A,MM,30 ORE DI ORARIO ORDINARIO,ITALIANO,9788891590800,"ZORDAN ROSETTA  ",IN OTTIMA FORMA  VOLUME UNICO,FONOLOGIA ORTOGRAFIA MORFOLOGIA LESSICO SINTASSI (VOLUME UNICO),1,FABBRI SCUOLA,"29,20",Si,Si,No
PGMM82701X,1,A,MM,30 ORE DI ORARIO ORDINARIO,LINGUA INGLESE,9780194088053,"AA VV  ",THINK BIG 1 PLUS: SB+BOOSTER W/DIG,ND,1,OXFORD UNIVERSITY PRESS,"23,10",No,Si,No
PGMM82701X,1,A,MM,30 ORE DI ORARIO ORDINARIO,STORIA,9788891574510,"BIGGIO BARBARA  ",STORIA A COLORI (LA),VOLUME 1 CON QUANDO DOVE COSA,1,FABBRI SCUOLA,"22,40",No,Si,No
PGMM82701X,1,A,MM,30 ORE DI ORARIO ORDINARIO,GEOGRAFIA,9791220422116,"MELI EMANUELE - FRANCESCHINI ANNA ",VERDEAZZURRO PLUS,VOLUME 1 + ATLANTE 1 + REGIONI SU LIBRO DIGITALE,1,A. MONDADORI SCUOLA,"20,30",No,Si,No
PGMM82701X,1,A,MM,30 ORE DI ORARIO ORDINARIO,MATEMATICA,9788808921277,BERTINETTO CLARA - METIÄINEN ARJA - PAASONEN J - VOUTILAINEN E,CONTACI! - CONF. 1 - SECONDA EDIZIONE (LDM),"NUMERI, RELAZIONI, DATI 1 + MISURE, SPAZIO E FIGURE 1  + TAVOLE NUMERICHE",1,ZANICHELLI EDITORE,"31,50",No,Si,No
PGMM82701X,1,A,MM,30 ORE DI ORARIO ORDINARIO,SCIENZE,9788824797061,"ZANOLI STEFANO  ",INTORNO A TE,VOLUME 1,1,A. MONDADORI SCUOLA,"17,40",Si,Si,No
PGMM82701X,1,A,MM,30 ORE DI ORARIO ORDINARIO,TECNOLOGIA,9788869176913,"ARDUINO GIANNI  ",HYPERTECH PRO,SETTORI PRODUTTIVI,U,LATTES,"20,00",No,Si,No
PGMM82701X,1,A,MM,30 ORE DI ORARIO ORDINARIO,ARTE E IMMAGINE,9788863087222,"CIRIBÌ FEDERICA  ",DIARIO VISIVO,VOLUME 1 DALLA PREISTORIA AL NEOCLASSICISMO,1,ELECTA SCUOLA,"18,80",Si,Si,No
