CODICESCUOLA,ANNOCORSO,SEZIONEANNO,TIPOGRADOSCUOLA,COMBINAZIONE,DISCIPLINA,CODICEISBN,AUTORI,TITOLO,SOTTOTITOLO,VOLUME,EDITORE,PREZZO,NUOVAADOZ,DAACQUIST,CONSIGLIATO
AQ1E00700D,5,A,EE,27/30 ORE TEMPO NORMALE,SUSSIDIARIO DEI LINGUAGGI,9788847242395,BARTOLUCCI TIZIANA - GAGLIARDINI MARIA LUISA - PAPALINI PAOLA,LEGGO PERCHE' 5,ND,2,RAFFAELLO,"20,96",No,Si,No
AQ1E00700D,4,A,EE,27/30 ORE TEMPO NORMALE,RELIGIONE,9788846845290,"PICARIELLO CARMINE  ",MIO LIBRO DI RELIGIONE 4-5 (IL),ND,U,LA SPIGA,"8,19",Si,Si,No
AQ1E00700D,4,A,EE,27/30 ORE TEMPO NORMALE,LINGUA INGLESE,9788847306905,"AA VV  ",BUDDY AND FRIENDS 4,ND,1,CETEM,"8,06",Si,Si,No
AQ1E00700D,4,A,EE,27/30 ORE TEMPO NORMALE,SUSSIDIARIO DELLE DISCIPLINE (AMBITO ANTROPOLOGICO),9791223235492,"AA VV  ",SUPER MONDO CL. 4 ANTROPOLOGICO,ND,1,GIUNTI SCUOLA,"10,73",Si,Si,No
AQ1E00700D,4,A,EE,27/30 ORE TEMPO NORMALE,SUSSIDIARIO DELLE DISCIPLINE (AMBITO SCIENTIFICO),9791223235508,"AA VV  ",SUPER MONDO CL. 4 MATEMATICA,ND,1,GIUNTI SCUOLA,"10,73",Si,Si,No
AQ1E00700D,4,A,EE,27/30 ORE TEMPO NORMALE,SUSSIDIARIO DEI LINGUAGGI,9788847307391,STANO LAURA - ZAMPIGHI FLAVIA - BENELLI MARIA ROSA,NEL CUORE DELLE PAROLE 4,ND,1,CETEM,"17,28",Si,Si,No
AQ1E00700D,1,A,EE,27/30 ORE TEMPO NORMALE,RELIGIONE,9788846845283,"PICARIELLO CARMINE  ",MIO LIBRO DI RELIGIONE 1-2-3 (IL),ND,U,LA SPIGA,"8,19",Si,Si,No
AQ1E00700D,1,A,EE,27/30 ORE TEMPO NORMALE,LINGUA INGLESE,9788809919686,"AA VV  ",ENGLISH BEAT CL. 1,ND,1,GIUNTI ELT,"4,02",No,Si,No
AQ1E00700D,1,A,EE,27/30 ORE TEMPO NORMALE,IL LIBRO DELLA PRIMA CLASSE,9791223235331,"AA VV  ",BANDA DEL BUS CL. 1  -  4 CARATTERI,ND,1,GIUNTI SCUOLA,"13,34",Si,Si,No
AQ1E00700D,1,B,EE,27/30 ORE TEMPO NORMALE,RELIGIONE,9788846845283,"PICARIELLO CARMINE  ",MIO LIBRO DI RELIGIONE 1-2-3 (IL),ND,U,LA SPIGA,"8,19",Si,Si,No
AQ1E00700D,1,B,EE,27/30 ORE TEMPO NORMALE,LINGUA INGLESE,9788809919686,"AA VV  ",ENGLISH BEAT CL. 1,ND,1,GIUNTI ELT,"4,02",Si,Si,No
AQ1E00700D,1,B,EE,27/30 ORE TEMPO NORMALE,IL LIBRO DELLA PRIMA CLASSE,9791223235331,"AA VV  ",BANDA DEL BUS CL. 1  -  4 CARATTERI,ND,1,GIUNTI SCUOLA,"13,34",Si,Si,No
AQ1E00700D,2,A,EE,27/30 ORE TEMPO NORMALE,RELIGIONE,9788846842947,"PICARIELLO CARMINE  ",DETTO... FATTO! 1-2-3,ND,U,LA SPIGA,"8,19",No,No,No
AQ1E00700D,2,A,EE,27/30 ORE TEMPO NORMALE,LINGUA INGLESE,9788853623843,BERTARINI MARIAGRAZIA - HUBER MARTHA - IOTTI PAOLO,THE STORY GARDEN 2,ND,2,ELI,"6,03",No,Si,No
AQ1E00700D,2,A,EE,27/30 ORE TEMPO NORMALE,SUSSIDIARIO (1° BIENNIO),9788847242364,BARTOLUCCI TIZIANA - GAGLIARDINI MARIA LUISA - PAPALINI PAOLA,VERDE PRATO 2,ND,2,RAFFAELLO,"18,69",No,Si,No
AQ1E00700D,2,B,EE,27/30 ORE TEMPO NORMALE,RELIGIONE,9788846842947,"PICARIELLO CARMINE  ",DETTO... FATTO! 1-2-3,ND,U,LA SPIGA,"8,19",No,No,No
AQ1E00700D,2,B,EE,27/30 ORE TEMPO NORMALE,LINGUA INGLESE,9788853623843,BERTARINI MARIAGRAZIA - HUBER MARTHA - IOTTI PAOLO,THE STORY GARDEN 2,ND,2,ELI,"6,03",No,Si,No
AQ1E00700D,2,B,EE,27/30 ORE TEMPO NORMALE,SUSSIDIARIO (1° BIENNIO),9788847242364,BARTOLUCCI TIZIANA - GAGLIARDINI MARIA LUISA - PAPALINI PAOLA,VERDE PRATO 2,ND,2,RAFFAELLO,"18,69",No,Si,No
