DATAFLOW,REF_AREA,EDUCATION_LEV,MEASURE,EDUCATION_TYPE,INTENSITY,EDUCATION_FIELD,GRADE,FREQ,ORIGIN,DESTINATION,INST_TYPE_EDU,MOBILITY,UNIT_MEASURE,SEX,AGE,TIME_PERIOD,OBS_VALUE,REF_YEAR_AGES,ORIGIN_CRITERION,REPYEARSTART,REPYEAREND,OBS_STATUS,CONF_STATUS,COMMENT_OBS,DECIMALS,TIME_PER_COLLECT,UNIT_MULT
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_01,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y_LT30,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_01,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y25T29,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_01,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y45T49,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_01,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y_LT25,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_01,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y30T49,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_01,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y50T54,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_02,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y_LT25,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_02,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y45T49,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_02,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y_GE65,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_02,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y30T49,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_02,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y60T64,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_02,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y35T39,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_02,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y50T54,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_02,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y_LT30,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_02,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y30T34,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_02,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y25T29,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_02,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y_GE50,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_02,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y40T44,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_02,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y55T59,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_1,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y_LT30,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_1,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y45T49,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_1,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y_GE50,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_1,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y_GE65,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_1,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y60T64,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_1,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y55T59,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_1,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y40T44,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_1,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y35T39,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_1,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y30T49,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_1,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y25T29,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_1,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y_LT25,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_1,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y30T34,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_1,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y50T54,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_2,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y55T59,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_2,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y25T29,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_2,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y30T49,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_2,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y_LT25,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_2,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y45T49,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_2,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y35T39,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_2,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y_LT30,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_2,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y_GE50,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_2,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y_GE65,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_2,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y50T54,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_2,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y60T64,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_2,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y30T34,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_2,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y40T44,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_3,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y55T59,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_3,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y50T54,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_3,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y40T44,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_3,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y25T29,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_3,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y45T49,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_3,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y30T34,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_3,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y_LT25,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_3,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y60T64,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_3,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y35T39,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_3,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y_LT30,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_3,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y30T49,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_3,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y_GE65,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_3,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y_GE50,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_34,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y_GE50,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_34,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y50T54,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_34,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y_LT25,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_34,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y_LT30,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_34,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y35T39,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_34,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y25T29,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_34,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y60T64,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_34,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y45T49,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_34,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y30T49,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_34,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y_GE65,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_34,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y30T34,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_34,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y40T44,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_34,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y55T59,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_35,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y35T39,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_35,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y_LT30,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_35,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y55T59,2015,,,,,,O,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_AGE(1.0),AUS,ISCED11_35,TEACH,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU,_Z,PT_ST,M,Y_GE50,2015,,,,,,O,,,2,,0
